x, y, t
-1.182205882, -2.307592904, 2.5929e-05
-1.179999213, -2.304453053, 0.102006362
-1.173298415, -2.294645536, 0.203701446
-1.165745992, -2.284211994, 0.305548615
-1.159597817, -2.27438114, 0.407432794
-1.15381513, -2.266102193, 0.509020169
-1.14645931, -2.255886353, 0.611417734
-1.139016206, -2.246531485, 0.7131015
-1.133514242, -2.235742914, 0.814753573
-1.127383354, -2.225050855, 0.917010051
-1.121239621, -2.215744345, 1.018747638
-1.114236367, -2.205250062, 1.120565429
-1.108863926, -2.196429621, 1.222364087
-1.102805382, -2.187572927, 1.324068973
-1.096920602, -2.178467966, 1.425843113
-1.090507885, -2.168419773, 1.527635
-1.08469758, -2.159150305, 1.629420652
-1.078538541, -2.149611369, 1.731268185
-1.072851603, -2.140443063, 1.832943974
-1.066944206, -2.131039592, 1.934676375
-1.060582807, -2.120909096, 2.036485839
-1.054118492, -2.111217221, 2.138240032
-1.048622035, -2.101826225, 2.239986613
-1.042843993, -2.09250818, 2.34185702
-1.03692552, -2.08316375, 2.44357092
-1.030775025, -2.073827068, 2.545363949
-1.02461419, -2.063416589, 2.64709072
-1.018529528, -2.05390136, 2.748848704
-1.01231549, -2.044307732, 2.85061902
-1.006433727, -2.035007591, 2.952279713
-1.000606061, -2.025656529, 3.054069403
-0.9946175544, -2.015933546, 3.156017044
-0.9870205417, -2.005216007, 3.257713499
-0.9811800421, -1.995208438, 3.359571414
-0.9753577061, -1.985758115, 3.461314599
-0.9690453079, -1.976084185, 3.56303096
-0.9628714867, -1.966314178, 3.664882035
-0.9561302847, -1.955621124, 3.766706173
-0.9498963818, -1.945802632, 3.868616335
-0.9438667172, -1.936051037, 3.970565099
-0.9377129506, -1.926187827, 4.07239701
-0.9310666457, -1.916268973, 4.174063089
-0.9249607137, -1.906394991, 4.27583069
-0.9182277744, -1.895700809, 4.377648025
-0.9119793423, -1.885887919, 4.479605265
-0.9057362059, -1.875773829, 4.581486887
-0.8995667451, -1.866017361, 4.683445085
-0.8933798799, -1.856102145, 4.785113831
-0.8861806304, -1.845039031, 4.886846571
-0.8799515805, -1.835478374, 4.988520128
-0.8743222919, -1.825557407, 5.090323461
-0.8681659991, -1.816180483, 5.191971515
-0.8621062789, -1.805610951, 5.293850957
-0.8564258588, -1.794113306, 5.395562851
-0.8497582674, -1.782975895, 5.497300539
-0.8438074135, -1.772770399, 5.599064408
-0.8378713644, -1.762673207, 5.700856086
-0.8318069243, -1.752578501, 5.802845013
-0.8250160112, -1.742518215, 5.904647348
-0.8184028037, -1.731067349, 6.006456693
-0.8123245461, -1.72075781, 6.108183285
-0.8063199631, -1.710357294, 6.209739557
-0.8005619584, -1.700083402, 6.311481342
-0.7943915243, -1.68948944, 6.413250478
-0.7883578184, -1.679203299, 6.514974616
-0.7817225265, -1.667847366, 6.616880019
-0.7760587302, -1.657409959, 6.71867731
-0.7703629483, -1.646462786, 6.82033908
-0.7647699059, -1.636191087, 6.922153625
-0.7591995702, -1.625730548, 7.023846354
-0.753747807, -1.615479164, 7.125623009
-0.7477575437, -1.60415605, 7.227253018
-0.7423848698, -1.593744801, 7.329097663
-0.7369091707, -1.583363795, 7.430891257
-0.7315963433, -1.573061111, 7.532904435
-0.7261670348, -1.56274077, 7.634444709
-0.7209985139, -1.552486074, 7.736133738
-0.7152594666, -1.541003697, 7.838057099
-0.7101293713, -1.530569372, 7.939743146
-0.7048571918, -1.520239622, 8.041417149
-0.699301899, -1.509717828, 8.142974961
-0.6940299559, -1.499476387, 8.244797369
-0.6883810191, -1.488092383, 8.346509975
-0.6831860507, -1.477815057, 8.448270277
-0.67794548, -1.46761128, 8.550238662
-0.6730879768, -1.457162882, 8.652048934
-0.6676125516, -1.446873964, 8.753773895
-0.662387749, -1.436466378, 8.855495027
-0.6569214038, -1.425429789, 8.957287547
-0.6518168201, -1.415570132, 9.059123766
-0.646869063, -1.405286792, 9.160945545
-0.6418011057, -1.395043275, 9.262724673
-0.6367500007, -1.384377074, 9.364632391
-0.6313253266, -1.373297496, 9.466317679
-0.6263142205, -1.363231132, 9.56791015
-0.6212539814, -1.353280211, 9.669599546
-0.6162132217, -1.343416138, 9.771250051
-0.6111764032, -1.333407146, 9.873087802
-0.6062010179, -1.323573585, 9.974769794
-0.6006203068, -1.312853444, 10.07654334
