x, y, t
-1.382245861, -2.287908551, 4.9326e-05
-1.380460815, -2.286129708, 0.101861787
-1.36915374, -2.272594846, 0.203519225
-1.357969056, -2.26034127, 0.305947516
-1.345179151, -2.246451036, 0.407738037
-1.333574094, -2.233961168, 0.509397089
-1.322561169, -2.221443368, 0.611097279
-1.311858839, -2.209767048, 0.712864741
-1.299418955, -2.195325706, 0.814522177
-1.287578464, -2.180844813, 0.916346745
-1.27576073, -2.167901152, 1.018132909
-1.266120855, -2.156073818, 1.120014705
-1.253995942, -2.140915363, 1.221623492
-1.242997563, -2.127921922, 1.323379904
-1.232204316, -2.114763772, 1.425413759
-1.220078456, -2.100782724, 1.52734432
-1.20900984, -2.087814046, 1.629211778
-1.19970206, -2.071591677, 1.731123073
-1.188776066, -2.0589316, 1.832862875
-1.178699576, -2.045278702, 1.934668357
-1.167733087, -2.029625325, 2.036496068
-1.157236507, -2.016432957, 2.138240347
-1.146988521, -2.003198053, 2.240043649
-1.1367827, -1.989737418, 2.341810216
-1.126781861, -1.976490186, 2.443587806
-1.11601683, -1.963386151, 2.545388882
-1.10555905, -1.948179727, 2.647230204
-1.096019686, -1.935150929, 2.749007797
-1.085485647, -1.920796413, 2.850806058
-1.076036178, -1.907974692, 2.95270447
-1.066125452, -1.894631122, 3.054567691
-1.055348252, -1.879815817, 3.156456665
-1.045427121, -1.866177456, 3.25833676
-1.035559902, -1.852397709, 3.360382439
-1.025404182, -1.838338594, 3.462100694
-1.015292907, -1.824349896, 3.56387009
-1.005348094, -1.810364586, 3.6656942
-0.9942389539, -1.794900767, 3.767684008
-0.9839928411, -1.780729348, 3.869603003
-0.974227849, -1.765886218, 3.971411233
-0.9644388827, -1.751539774, 4.073380506
-0.954592324, -1.73710044, 4.17518752
-0.9437760815, -1.721371914, 4.276989886
-0.9338336014, -1.707015509, 4.378775664
-0.9239890224, -1.692539441, 4.480498193
-0.9139357283, -1.678138563, 4.582431744
-0.9038268265, -1.663384271, 4.6843859
-0.8940273547, -1.648851728, 4.786190186
-0.8830338074, -1.632509226, 4.888020319
-0.8730138285, -1.61749571, 4.989975084
-0.8631412954, -1.602550972, 5.091840567
-0.8535856946, -1.586930015, 5.193604126
-0.8443954867, -1.571845897, 5.295411165
-0.8342852481, -1.555014008, 5.397178523
-0.8251614745, -1.539893172, 5.499053779
-0.8160656556, -1.524546853, 5.600823159
-0.8078072966, -1.509335142, 5.702796643
-0.7985357347, -1.49374645, 5.804597152
-0.7889132768, -1.476652133, 5.906391949
-0.7803994853, -1.461072966, 6.008270721
-0.7717707705, -1.44526376, 6.110183679
-0.7634121399, -1.429503751, 6.21199159
-0.7553425724, -1.413682129, 6.313833676
-0.7473790471, -1.397772973, 6.415597086
-0.7386334874, -1.380354492, 6.517454472
-0.7304719657, -1.364852168, 6.619380214
-0.7233937401, -1.349363488, 6.72107159
-0.7159294631, -1.333462105, 6.823057624
-0.7083639423, -1.317619942, 6.925112026
-0.7007464478, -1.300460232, 7.027013269
-0.6936559462, -1.285264601, 7.128888604
-0.6865830381, -1.269952529, 7.230741024
-0.6791979378, -1.255260523, 7.332696103
-0.6718460736, -1.240489052, 7.434433487
-0.6638803486, -1.224327058, 7.536741874
-0.6565881483, -1.209489715, 7.63862976
-0.6493814628, -1.194383176, 7.740474728
-0.6425505437, -1.178364452, 7.842236055
-0.6352168741, -1.16266193, 7.94426782
-0.6272836135, -1.146119256, 8.046050895
-0.6203279513, -1.13120776, 8.148008123
-0.6132577393, -1.116263294, 8.249985241
-0.6060954542, -1.101238025, 8.351392291
-0.5990427107, -1.086208626, 8.453219405
-0.5918986436, -1.071309613, 8.555271269
-0.5834310727, -1.054859342, 8.657145556
-0.5761827538, -1.040095833, 8.75913177
-0.5697167357, -1.024932945, 8.861017943
-0.5637992071, -1.009557098, 8.962984366
-0.5589634563, -0.9916345746, 9.064512104
-0.5528957342, -0.9732601823, 9.166231491
-0.545204331, -0.9535446228, 9.268130567
-0.5384408362, -0.9363049284, 9.369970292
-0.5303776509, -0.9185201316, 9.471837287
-0.5225941301, -0.9007520732, 9.573966587
-0.5153220538, -0.8835973129, 9.675645689
-0.5079001641, -0.8658190265, 9.777498189
-0.5014103462, -0.8506995391, 9.879181251
-0.4949117825, -0.835140814, 9.981071833
-0.4885453184, -0.8196216836, 10.08277465
