x, y, t
-1.233321804, -2.469658559, 2.9475e-05
-1.231221572, -2.467098817, 0.101527584
-1.221867694, -2.454688456, 0.20306698
-1.21207319, -2.441625951, 0.304536028
-1.200699176, -2.426146338, 0.406167969
-1.193052152, -2.411431625, 0.50793569
-1.183221228, -2.399314405, 0.609601646
-1.173980717, -2.386908582, 0.711231925
-1.163222726, -2.371133245, 0.813359235
-1.152858204, -2.356839896, 0.915142684
-1.143366557, -2.343553775, 1.016890834
-1.134852937, -2.330849621, 1.118738943
-1.125368861, -2.316482171, 1.220320988
-1.115068418, -2.301547628, 1.322127515
-1.105825354, -2.287702289, 1.423869482
-1.09508025, -2.27151763, 1.525595123
-1.086800779, -2.258474017, 1.627460813
-1.078274298, -2.245497609, 1.729259099
-1.068543294, -2.230522715, 1.830815207
-1.060400075, -2.218146893, 1.932563058
-1.050936308, -2.203519725, 2.034561368
-1.042620977, -2.190504404, 2.136233931
-1.033517512, -2.177318448, 2.237898186
-1.025049813, -2.164316291, 2.339542971
-1.016517367, -2.14987602, 2.441318325
-1.007759092, -2.136250974, 2.542965017
-0.9989949817, -2.12023384, 2.644793003
-0.9903545627, -2.106423124, 2.746673852
-0.9816134602, -2.092598061, 2.848403566
-0.9724716943, -2.078479646, 2.950167269
-0.9640839671, -2.064676589, 3.051765234
-0.9553437235, -2.050748719, 3.153654082
-0.9458874568, -2.035327431, 3.255266381
-0.9363647113, -2.021190802, 3.356887995
-0.9274950159, -2.0063624, 3.458585055
-0.9186966017, -1.991890636, 3.56043768
-0.9097779314, -1.977265566, 3.662135018
-0.9013178308, -1.962772805, 3.763961032
-0.8915398805, -1.946348787, 3.865634399
-0.8832738606, -1.931646614, 3.967376654
-0.8749019432, -1.916922175, 4.069102703
-0.8664962574, -1.902205815, 4.170722251
-0.8578670306, -1.887430069, 4.272520504
-0.8494558709, -1.872300468, 4.374393101
-0.8403837431, -1.856050681, 4.476172146
-0.8321264288, -1.841260828, 4.577843156
-0.8238151161, -1.826428277, 4.679622469
-0.8155273752, -1.811693296, 4.78133815
-0.8072866459, -1.796937996, 4.882961955
-0.7976024145, -1.780194698, 4.984749258
-0.7898252187, -1.76542478, 5.086278474
-0.7819346833, -1.750709659, 5.188030457
-0.7746200895, -1.734035337, 5.289763342
-0.7669579635, -1.718695913, 5.391492553
-0.7599440493, -1.703104644, 5.493366943
-0.7522298441, -1.686627056, 5.595029028
-0.7438654005, -1.670882243, 5.696948559
-0.736751916, -1.656114997, 5.798807858
-0.7295149897, -1.641121583, 5.900675101
-0.7223150735, -1.626200152, 6.002485441
-0.7152977082, -1.611097355, 6.104264513
-0.7074937693, -1.594657916, 6.206029901
-0.7005507375, -1.579468337, 6.307649275
-0.6934325885, -1.564714829, 6.409335758
-0.686848206, -1.549069936, 6.511068099
-0.6800267468, -1.533774695, 6.612716577
-0.6723927461, -1.516898914, 6.714417813
-0.6658113892, -1.501506101, 6.816307913
-0.6592026561, -1.486323496, 6.918267701
-0.6529079772, -1.471889443, 7.020127421
-0.6460135082, -1.455622152, 7.122013734
-0.6395602865, -1.440799217, 7.223804507
-0.6322510086, -1.424389432, 7.32568099
-0.6258381075, -1.408978368, 7.427387536
-0.6195060048, -1.3933842, 7.529028177
-0.6131090388, -1.378235451, 7.630747434
-0.6066691553, -1.363140058, 7.732371463
-0.6002136971, -1.348090366, 7.834094968
-0.5933317221, -1.331533756, 7.935936202
-0.5870219277, -1.316692046, 8.037753207
-0.5807057112, -1.301789403, 8.139489982
-0.5743126467, -1.28688313, 8.241246676
-0.5680968408, -1.272022191, 8.342964002
-0.5612173375, -1.255590692, 8.444711876
-0.5549009684, -1.240714446, 8.546423232
-0.5486733946, -1.225597921, 8.648121911
-0.5427723381, -1.210467153, 8.749782984
-0.5368962453, -1.195388213, 8.851367552
-0.5306861695, -1.180384033, 8.953173553
-0.5237997497, -1.16393235, 9.055024852
-0.5178446242, -1.148809063, 9.156753204
-0.5122241721, -1.133618697, 9.258654725
-0.5063550044, -1.118665382, 9.360417085
-0.5006958874, -1.103767578, 9.462182829
-0.4948081006, -1.08875172, 9.563949115
-0.4880726398, -1.072352318, 9.665789984
-0.4823458247, -1.057739586, 9.767491021
-0.4771536351, -1.043073144, 9.869229375
-0.4717080032, -1.028491377, 9.970949728
-0.4669231425, -1.012889158, 10.07280733
