x, y, t
-1.341954585, -2.529491979, 3.9869e-05
-1.341531656, -2.528634724, 0.102130588
-1.339361124, -2.526192344, 0.204055739
-1.337510413, -2.523736262, 0.305697121
-1.334885586, -2.521188293, 0.407537318
-1.333555345, -2.519568626, 0.509314703
-1.332411719, -2.517659551, 0.611234178
-1.330864041, -2.515774842, 0.713046724
-1.329324746, -2.513833456, 0.814925048
-1.328218996, -2.511686565, 0.916630433
-1.326553352, -2.510149729, 1.018378656
-1.324613247, -2.503340889, 1.120220911
-1.322998039, -2.501674187, 1.221975712
-1.321794747, -2.499990779, 1.323542557
-1.319869295, -2.497924529, 1.424947883
-1.318152958, -2.495958882, 1.526640506
-1.316401471, -2.4939866, 1.628500213
-1.314619983, -2.492008179, 1.730358667
-1.312785072, -2.489524916, 1.832343824
-1.310995758, -2.487607361, 1.934153253
-1.309563295, -2.485499774, 2.035898221
-1.307138525, -2.48315038, 2.137831975
-1.305351795, -2.481382029, 2.239550006
-1.303663986, -2.479003666, 2.341462103
-1.301412116, -2.477611669, 2.443254096
-1.300116137, -2.475139859, 2.545136522
-1.298278245, -2.472377256, 2.646905218
-1.296542044, -2.470340313, 2.74878558
-1.294735601, -2.468299766, 2.8506984
-1.293177314, -2.466511075, 2.952458715
-1.29166203, -2.464859082, 3.054188924
-1.28951136, -2.462821797, 3.156093067
-1.287032928, -2.458241598, 3.257785895
-1.285720393, -2.456296463, 3.359545471
-1.283938535, -2.454146712, 3.461368675
-1.282041007, -2.452585128, 3.563278922
-1.280330935, -2.450388613, 3.665101493
-1.278572771, -2.447813537, 3.766977829
-1.276759675, -2.445555925, 3.868963662
-1.275065189, -2.443349768, 3.970732915
-1.273094438, -2.441164744, 4.07257103
-1.271580811, -2.438960684, 4.174438327
-1.269623513, -2.436808114, 4.276320581
-1.267559142, -2.434294934, 4.378121592
-1.265790925, -2.432087723, 4.47978706
-1.26407881, -2.429896765, 4.581590422
-1.262422572, -2.427222967, 4.683408067
-1.260680418, -2.425099312, 4.785429122
-1.258899204, -2.423302613, 4.887432993
-1.257226747, -2.421562052, 4.989373605
-1.255020805, -2.419257977, 5.091345211
-1.252739824, -2.415020062, 5.193345499
-1.251177044, -2.41323709, 5.295129424
-1.248879993, -2.410159493, 5.396927609
-1.247542592, -2.408785116, 5.498770738
-1.245708522, -2.40679009, 5.600717812
-1.243851397, -2.40448898, 5.702552179
-1.24207742, -2.402410851, 5.804568374
-1.240446391, -2.400009814, 5.906566618
-1.238042919, -2.397756682, 6.008389684
-1.236304209, -2.395621795, 6.110208018
-1.234374093, -2.393431, 6.212026353
-1.2324337, -2.391156518, 6.313955814
-1.230796198, -2.388702387, 6.415995642
-1.228325336, -2.387134988, 6.517847918
-1.226331376, -2.384848768, 6.619919162
-1.224186856, -2.382298459, 6.721967648
-1.222947422, -2.379112987, 6.82393058
-1.220312233, -2.378224936, 6.925918425
-1.219046304, -2.374756953, 7.02784538
-1.217628792, -2.372786675, 7.129640811
-1.21583849, -2.370723073, 7.231383072
-1.214366301, -2.368853389, 7.333241028
-1.212674367, -2.366573318, 7.435093463
-1.210589249, -2.365090298, 7.5370679
-1.207576387, -2.360760628, 7.639039072
-1.20584924, -2.357852444, 7.740911011
-1.203755051, -2.355898871, 7.842606527
-1.202064494, -2.354062677, 7.944600008
-1.20036133, -2.351895695, 8.046490007
-1.198489673, -2.349719611, 8.148513215
-1.196649166, -2.347584229, 8.250375152
-1.19469807, -2.345524544, 8.352345725
-1.192917073, -2.3434592, 8.454358901
-1.191236811, -2.341223971, 8.556276352
-1.189178243, -2.33877311, 8.658103103
-1.18708064, -2.336282518, 8.75987664
-1.185287721, -2.334314441, 8.861690937
-1.183388424, -2.332856785, 8.963517322
-1.180998859, -2.331420828, 9.065227426
-1.179794298, -2.328743167, 9.166966401
-1.177625349, -2.326775728, 9.268704644
-1.175107346, -2.32485452, 9.370679356
-1.173093099, -2.322464532, 9.47248753
-1.172014101, -2.319047081, 9.574571849
-1.170280285, -2.317622014, 9.676396677
-1.168139869, -2.314912446, 9.778264437
-1.166177792, -2.3124867, 9.88018995
-1.164764795, -2.310573698, 9.982079461
-1.162677963, -2.308277112, 10.08405973
